State,Baseball_Schools,Baseball_Participants,Basketball_Schools,Basketball_Participants,Bowling_Schools,Bowling_Participants,Cross_Country_Schools,Cross_Country_Participants,Football_11_Schools,Football_11_Participants,Football_8_Schools,Football_8_Participants,Golf_Schools,Golf_Participants,Hockey_Schools,Hockey_Participants,Lacrosse_Schools,Lacrosse_Participants,Soccer_Schools,Soccer_Participants,Swimming_Schools,Swimming_Participants,Tennis_Schools,Tennis_Participants,Indoor_Track_Schools,Indoor_Track_Participation,Outdoor_Track_Schools,Outdoor_Track_Participation,Volleyball_Schools,Volleyball_Participation,Wrestling_Schools,Wrestling_Participation
New York,710,17232,756,17983,401,4099,612,8035,523,26882,56,1041,578,6856,169,2683,378,13451,682,20521,339,4001,477,7341,473,12271,665,21335,245,4461,508,11565
North Carolina,414,10574,434,11409,,,395,5821,383,29075,,,371,3278,,,121,4219,407,12916,305,3338,319,3833,304,7331,408,15932,,,342,9885
North Dakota,128,1750,162,2721,,,118,811,81,3099,,,133,1267,47,674,,,31,693,31,316,27,403,,,157,2906,,,108,1121
Ohio,783,23490,808,29088,490,3920,761,15220,717,43020,,,705,4200,76,1750,152,5538,586,12848,434,3031,407,4884,,,816,24480,150,2250,621,12420
Oklahoma,432,8625,466,9360,,,341,3262,255,14758,80,1587,263,2195,,,,,129,4344,68,628,108,1479,,,442,7982,,,176,5709
Oregon,236,5782,291,7675,,,238,3431,151,10673,26,511,187,2008,,,,,201,7219,135,1786,130,2217,,,285,10716,,,205,5455
Pennsylvania,654,20928,728,21840,177,1770,598,11960,557,27850,,,508,5080,,,218,7630,575,20125,338,10140,358,4296,204,3060,615,24600,252,5040,481,12025
Rhode Island,47,1576,53,2245,,,46,760,43,2811,,,39,578,37,720,33,1081,48,2057,28,284,36,680,39,1609,49,1877,38,1051,36,1132
South Carolina,202,6856,213,6365,,,162,2937,203,18585,,,153,1613,,,46,2360,182,6740,92,1226,113,1551,,,189,9108,,,57,5928
South Dakota,,,167,3375,,,150,1057,74,3510,,,141,1241,,,,,36,786,,,25,429,,,162,4033,2,20,117,1352
Tennessee,365,8959,398,8427,152,1491,331,3872,350,22571,,,322,2827,,,,,323,9073,,,273,2514,,,326,8716,,,191,5093
Texas,1203,53075,1377,62212,,,1371,26241,1104,171246,,,1256,14932,,,,,748,48213,559,9932,1180,22402,,,1377,73613,,,394,16639
Utah,128,4059,144,4059,,,135,3172,105,9882,8,191,124,1911,,,60,2856,114,4337,95,1997,97,2056,,,132,6924,89,2144,105,3932
Vermont,32,597,32,697,5,28,30,271,19,545,,,21,154,15,193,18,448,35,989,,,3,25,16,250,26,580,6,185,11,80
Virginia,310,8845,316,9458,,,303,5369,306,23091,,,293,2676,,,120,5073,292,10784,232,3641,245,2931,274,9562,308,12413,66,1305,280,7637
Washington,318,9076,348,10834,,,309,6924,322,20509,60,1103,291,3674,,,,,276,11905,153,3455,232,5561,,,331,16427,,,281,8876
West Virginia,116,2704,123,2910,,,98,946,113,5681,,,99,1088,,,,,85,2175,46,409,68,614,,,109,3137,,,92,2074
Wisconsin,442,12124,494,14502,,,426,6099,371,23301,58,1346,371,6134,86,2668,98,1191,281,9814,114,2099,186,3926,,,457,15626,61,1728,340,6861
Wyoming,,,69,1719,,,44,615,38,2275,,,39,665,,,,,27,1045,26,413,16,321,30,846,70,2138,,,52,1313
